194	シューベルト	Schubert	ミサ	Messe in Es	不明														
195	シューベルト	Schubert	ロザムンデ序曲	Overture Rosamunde	不明														
196	シベリウス	Sibelius	交響曲第１番	Symphony No.1	Breitkopf&Haertels	F.O.	×	スコアなし											
197	シベリウス	Sibelius	交響曲第２番	Symphony No.2															
198	シベリウス	Sibelius	交響曲第６番	Symphony No.6	Hansen	F.O.	×	Cbなし											
199	シベリウス	Sibelius	バイオリン協奏曲	Violin Concerto	Kalmus	F.O.	×	スコア、Vn1、独奏Vn	日吉										
200	シベリウス	Sibelius	フィンランディア	Finlandia	Breitkopf&Haertels	F.O.	○												
201	スメタナ	Smetana	わが祖国より「モルダウ」	Moldau	Breitkopf&Haertels	F.O.	○												
202	スーザ	Sousa	星条旗よ永遠なれ	The Stars and Stripes Forever	不明	F.O.	○												
203	スーザ	Sousa	ワシントンポスト	The Washington Post March	Kalmus	F.O.	○												
204	ヨハン・シュトラウス	J.Strauss	春の声	Fruhlingsstimmen	Breitkopf&Haertels	F.O.	○												
205	ヨハン・シュトラウス	J.Strauss	「うわごと」ワルツ	Delirien-Walzer	Musikverlag Ludwig Krenn	F.O.	×	スコアなし											
206	ヨハン・シュトラウス	J.Strauss	「こうもり」ワルツ	Die Fledermaus	Breitkopf&Haertels	F.O.	○												
207	ヨハン・シュトラウス	J.Strauss	ウィーン気質	Vienna Blood	Boosey&Hawkes	F.O.	×	スコアなし											
208	ヨハン・シュトラウス	J.Strauss	美しき青きドナウ	Blue Danube Waltz	Kalmus	F.O.	○												
209	ヨハン・シュトラウス	J.Strauss	ピチカートポルカ	Pizzicato Polka	Kalmus	F.O.	×	Trp1、Vc、Cb											
210	ヨハン・シュトラウス	J.Strauss	ラデツキー行進曲	Radetzky-March	不明	F.O.	○												
211	ヨハン・シュトラウス	J.Strauss	皇帝円舞曲	Kaiserwalzer	Breitkopf&Haertels	F.O.	×	管なし											
212	リヒャルト・シュトラウス	R.Strauss	死と変容	Tod und Verklarung	Peters	F.O.	×	Trp1〜3											
213	スーク	Suk	メルヘン組曲	"Suite ""Ein Marchen"""	Simrock	F.O.	○												
214	スッペ	Suppe	序曲「詩人と農夫」	Dichter und Bauer Ouverture	不明	F.O.	×	スコアなし											
215	ストラヴィンスキー	Stravinsky	火の鳥1919版	L'Oiseau de feu(1919)	Schotts	F.O.	×	スコア、Ob2、EHなし											
216	スミス	John Stafford Smith	アメリカ国歌	The Star-Spangled Banner	Schirmer	F.O.	×	スコアなし											
217	スメタナ	Smetana	我が祖国より「シャールカ」			F.O.	○												
218	スメタナ	Smetana	我が祖国より「ターボル」			F.O.	○												
219	スメタナ	Smetana	我が祖国より「ブラニーク」			F.O.	×	"スコアp6-7,12-13なし"											
220	スメタナ	Smetana	我が祖国より「ボヘミアの森と草原から」			F.O.	○												
221	スメタナ	Smetana	我が祖国より「高い城」			F.O.	○												
222	シベリウス	Sibelius	交響曲第７番	Symphony No.7		F.O.	○												
223	ショスタコーヴィチ	Schostakowitsch	交響曲第7番	Symphony No.7		F.O.	○												
224	シベリウス	Sibelius	「カレリア」組曲	"""Caleria"""		F.O.													
225	シューマン	Schumann	序曲「マンフレッド」			F.O.													
226	武満	Takemitsu	夢の時	Dreamtime	Schotts	F.O.	○												
227	チャイコフスキー	Tschaikowsky	交響曲第４番	Symphony No.4	Breitkopf&Haertels	F.O.	×	スコア、Ob1なし											
228	チャイコフスキー	Tschaikowsky	交響曲第５番	Symphony No.5	Breitkopf&Haertels	F.O.	×	Fl3なし											
229	チャイコフスキー	Tschaikowsky	交響曲第６番	Symphony No.6	Breitkopf&Haertels	F.O.	×	Fl1なし											
230	チャイコフスキー	Tschaikowsky	ピアノ協奏曲第１番	Piano Concerto No.1	Breitkopf&Haertels	F.O.	×	スコア、Timp、独奏Pfなし											
231	チャイコフスキー	Tschaikowsky	ピアノ協奏曲第１番	Piano Concerto No.1	Kalmus	F.O.	×	スコア、独奏Pfなし											
232	チャイコフスキー	Tschaikowsky	イタリア奇想曲	Capriccio Italien	Fischer	F.O.	×	スコアなし											
233	チャイコフスキー	Tschaikowsky	スラブ行進曲	Marche Slave	Kalmus	F.O.	×	スコア、Ob1、Tubaなし											
234	チャイコフスキー	Tschaikowsky	幻想序曲「ロミオとジュリエット」	"Fantasic Overture ""Romeo and Juliet"""	Kalmus	F.O.	○												
235	チャイコフスキー	Tschaikowsky	「眠れる森の美女」組曲	Sleeping Beauty Suite	Kalmus	F.O.	○												
